14:27:02 [AccountInfo] Account connected (Account: teste1, IpAddress: 127.0.0.1, GameServerCode: 0)
14:27:02 [AccountInfo] Account connected (Account: teste10, IpAddress: 127.0.0.1, GameServerCode: 0)
14:27:02 [AccountInfo] Account connected (Account: teste11, IpAddress: 127.0.0.1, GameServerCode: 0)
14:27:02 [AccountInfo] Account connected (Account: teste12, IpAddress: 127.0.0.1, GameServerCode: 0)
14:27:02 [AccountInfo] Account connected (Account: teste13, IpAddress: 127.0.0.1, GameServerCode: 0)
14:27:02 [AccountInfo] Account connected (Account: teste14, IpAddress: 127.0.0.1, GameServerCode: 0)
14:27:02 [AccountInfo] Account connected (Account: teste15, IpAddress: 127.0.0.1, GameServerCode: 0)
14:27:02 [AccountInfo] Account connected (Account: teste16, IpAddress: 127.0.0.1, GameServerCode: 0)
14:27:02 [AccountInfo] Account connected (Account: teste2, IpAddress: 127.0.0.1, GameServerCode: 0)
14:27:02 [AccountInfo] Account connected (Account: teste3, IpAddress: 127.0.0.1, GameServerCode: 0)
14:27:02 [AccountInfo] Account connected (Account: teste4, IpAddress: 127.0.0.1, GameServerCode: 0)
14:27:02 [AccountInfo] Account connected (Account: teste5, IpAddress: 127.0.0.1, GameServerCode: 0)
14:27:02 [AccountInfo] Account connected (Account: teste6, IpAddress: 127.0.0.1, GameServerCode: 0)
14:27:02 [AccountInfo] Account connected (Account: teste7, IpAddress: 127.0.0.1, GameServerCode: 0)
14:27:02 [AccountInfo] Account connected (Account: teste8, IpAddress: 127.0.0.1, GameServerCode: 0)
14:27:02 [AccountInfo] Account connected (Account: teste9, IpAddress: 127.0.0.1, GameServerCode: 0)
14:32:18 [AccountInfo] Account connected (Account: admin, IpAddress: 45.5.211.74, GameServerCode: 0)
14:32:47 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.5.211.74, GameServerCode: 0)
14:41:24 [AccountInfo] Account connected (Account: admin2, IpAddress: 45.5.211.74, GameServerCode: 0)
14:41:54 [AccountInfo] Account disconnected (Account: admin2, IpAddress: 45.5.211.74, GameServerCode: 0)
