06:05:27 [AccountInfo] Account disconnected (Account: teste10, IpAddress: 127.0.0.1, GameServerCode: 0)
06:05:27 [AccountInfo] Account disconnected (Account: teste1, IpAddress: 127.0.0.1, GameServerCode: 0)
06:05:27 [AccountInfo] Account disconnected (Account: teste11, IpAddress: 127.0.0.1, GameServerCode: 0)
06:05:27 [AccountInfo] Account disconnected (Account: teste12, IpAddress: 127.0.0.1, GameServerCode: 0)
06:05:27 [AccountInfo] Account disconnected (Account: teste13, IpAddress: 127.0.0.1, GameServerCode: 0)
06:05:27 [AccountInfo] Account disconnected (Account: teste14, IpAddress: 127.0.0.1, GameServerCode: 0)
06:05:27 [AccountInfo] Account disconnected (Account: teste15, IpAddress: 127.0.0.1, GameServerCode: 0)
06:05:27 [AccountInfo] Account disconnected (Account: teste16, IpAddress: 127.0.0.1, GameServerCode: 0)
06:05:27 [AccountInfo] Account disconnected (Account: teste2, IpAddress: 127.0.0.1, GameServerCode: 0)
06:05:27 [AccountInfo] Account disconnected (Account: teste3, IpAddress: 127.0.0.1, GameServerCode: 0)
06:05:27 [AccountInfo] Account disconnected (Account: teste4, IpAddress: 127.0.0.1, GameServerCode: 0)
06:05:27 [AccountInfo] Account disconnected (Account: teste5, IpAddress: 127.0.0.1, GameServerCode: 0)
06:05:27 [AccountInfo] Account disconnected (Account: teste6, IpAddress: 127.0.0.1, GameServerCode: 0)
06:05:27 [AccountInfo] Account disconnected (Account: teste7, IpAddress: 127.0.0.1, GameServerCode: 0)
06:05:27 [AccountInfo] Account disconnected (Account: teste8, IpAddress: 127.0.0.1, GameServerCode: 0)
06:05:27 [AccountInfo] Account disconnected (Account: teste9, IpAddress: 127.0.0.1, GameServerCode: 0)
06:48:30 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.66, GameServerCode: 0)
06:48:58 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.66, GameServerCode: 0)
06:54:11 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.66, GameServerCode: 0)
06:55:44 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.66, GameServerCode: 0)
07:02:56 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.66, GameServerCode: 0)
07:03:11 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.66, GameServerCode: 0)
08:24:53 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.66, GameServerCode: 0)
08:29:49 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.66, GameServerCode: 0)
08:32:07 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.66, GameServerCode: 0)
08:35:20 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.66, GameServerCode: 0)
08:36:13 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.66, GameServerCode: 0)
08:36:40 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.66, GameServerCode: 0)
08:38:04 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.66, GameServerCode: 0)
08:38:21 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.66, GameServerCode: 0)
08:40:49 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.66, GameServerCode: 0)
08:41:07 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.66, GameServerCode: 0)
08:41:48 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.66, GameServerCode: 0)
08:41:56 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.66, GameServerCode: 0)
08:43:21 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.66, GameServerCode: 0)
08:43:34 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.66, GameServerCode: 0)
11:47:34 [AccountInfo] Account connected (Account: admin, IpAddress: 138.186.116.66, GameServerCode: 0)
12:57:12 [AccountInfo] Account disconnected (Account: admin, IpAddress: 138.186.116.66, GameServerCode: 0)
