// ----------------------------------------------------------------------------------
//	Custom:    Map Teleport (Server)
//===================================================================================
//==============================
//	Map List
//==============================
0
// -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
//	MapID X	     Y	    TX	    TY		MinL 	 MaxL	MinRes	MaxRes	MinGRes	MaxGRes		Zen	 WcoinP		Ruud		NeedMaster	NeedPK	NeedGuild	EmptyInv	AccountLevel
// -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	0     133    118    151     135		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	1     107    247    110     247		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	2     197    35     218     50		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	2     23     27     27      24		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	2     224    231    227     227		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	2     69     181    72      178		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0	
	3     171    108    177     117		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	4     203    70     213     81		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	4     241    237    244     238		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	4     86     166    87      168		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	4     87     86     88      89		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	4     128    53     131     54		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	4     52     53     55      54		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	4     8      85     9       87		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	6     62     126    62      126		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0		
	7     15     11     27      23		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	7     225    53     228     50		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	7     62     163    68      157		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0		
	8     187    54     203     69		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	8     96     143    100     146		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	10    14     13     16      13		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	30    88     31     102     46		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	33    82     8      87      14		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	33    186    173    190     177		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0	
	34    229    37     239     46		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	37    19     217    21      219		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	37    205    36     208     41		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	37    66     183    74      191		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	38    71     104    72      107		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	41    29     79     31      82		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	56    135    105    142     111		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	51    51     224    54      227		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	57    222    211    225     212		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
	63    120    129    126     134		1	 400	0	100	0	100		1000 	0		0		0		0	0		0		0
end
