//=================================================================================================================//=================================================================================================================
// - ColorName Max: 7
// - AL  = This bot is only for VIP users
// - Class    = 0,1,2	DW,SM,GM  = 16,17,18	DK,BK,BM  = 32,33,34	Elf,ME,HE
// -	      = 48,49,50 MG,DM    = 64,65,66	DL,LE     = 80,81,82	SU,BS,DS
// -	      = 96,98 RF,FM
// - GensFamily (1 Vanert, 2 Duprian)
// - Attention: if or if put 10 letters in the names of the Bot
//=================================================================================================================
//=================================================================================================================
//BotIndex	Class	Enabled	 ColorName	Zen	PCPoint	MaxLvl	   Name		Map	X	Y	Dir
1
0		34	1	    0		1000000	  0	400	"BufferElfa"	0	158	129	2
1		2	1	    0		1000000	  0	400	"BufferSoul"	0	160	129	2
2		18	1	    0		1000000   0	400	"BufferBlad"	0	162	129	2
3		82	1	    0		1000000	  0	400	"BufferSUMN"	0	164	129	2
4		66	1	    0		1000000	  0	400	"BufferLord"	0	166	129	2
5		98	1	    0		1000000	  0	400	"BufferRage"	0	168	129	2
6		18	1	    0		1000000   0	400	"Awaken-BM"	79	114	137	1
7		2	1	    0		1000000	  0	400	"Awaken-GM"	79	112	137	1
8		34	1	    0		1000000	  0	400	"Awaken-HE"	79	110	137	1
9		66	1	    0		1000000	  0	400	"Awaken-LE"	79	108	134	3
10		50	1	    0		1000000	  0	400	"Awaken-DM"	79	108	132	3
11		82	1	    0		1000000	  0	400	"Awaken-DS"	79	108	130	3
12		98	1	    0		1000000	  0	400	"Awaken-RF"	79	108	137	1
13		1	1	    1		1000000   0	400	"WingFoxSM"	7	14 	10	5
14		17	1	    1		1000000   0	400	"WingFoxBK"	7	16 	10	5
15		33	1	    1		1000000   0	400	"WingFoxME"	7	18 	10	5
16		48	1	    1		1000000   0	400	"WingFoxMG"	7	20 	10	5
17		64	1	    1		1000000   0	400	"WingFoxDL"	7	22 	10	5
18		81	1	    1		1000000   0	400	"WingFoxBS"	7	24 	10	5
19		96	1	    1		1000000   0	400	"WingFoxRF"	7	26 	10	5
end
//=================================================================================================================
//=================================================================================================================
// -   Bot	Only	Active!		GensReq		Gens
// -   Index	_AL	ReqGens		Contribution	Family
2
	0	0	   0	  	100		0
	1	0	   0	  	100		0
	2	0	   0	  	100		0
	3	0	   0	  	100		0
	4	0	   0	  	100		0
	5	0	   0	  	100		0
	6	0	   0	  	100		0
	7	0	   0	  	100		0
end
//=================================================================================================================
//=================================================================================================================
// - 0 = Sword	1 = Shield	2 = Helm	3 = Armor	
// - 4 = Pants	5 = Gloves	6 = Boots	7 = Wings	8 = Pet


// - BotIndex	Slot	Type	Index	Level	Opt
3
//BUFFER ELFA
	0	2	7	49	15	15
	0	3	8	49	15	15
	0	4	9	49	15	15
	0	5	10	49	15	15
	0	6	11	49	15	15
	0	7	12	38	15	15
	0	8	13	201	15	15
//BUFFER MAGO
	1	2	7	3	15	15
	1	3	8	3	15	15
	1	4	9	3	15	15
	1	5	10	3	15	15
	1	6	11	3	15	15
	1	7	12	37	15	15
	1	8	13	201	15	15

//BladeMaster(Awakening)======================================================================================================
	6	2	7	99	15	15
	6	3	8	99	15	15
	6	4	9	99	15	15
	6	5	10	99	15	15
	6	6	11	99	15	15
	6	7	12	36	15	15
//GranMaster(Awakening)========================================================================================================
	7	2	7	107	15	15
	7	3	8	107	15	15
	7	4	9	107	15	15
	7	5	10	107	15	15
	7	6	11	107	15	15
	//7	7	12	203	15	15
//Elfa (Awakening)========================================================================================================
	8	2	7	108	15	15
	8	3	8	108	15	15
	8	4	9	108	15	15
	8	5	10	108	15	15
	8	6	11	108	15	15
	//8	7	12	203	15	15
//DARLORDK(Awakening)========================================================================================================
	9	2	7	111	15	15
	9	3	8	111	15	15
	9	4	9	111	15	15
	9	5	10	111	15	15
	9	6	11	111	15	15
	//9	7	12	203	15	15
//MAGIC (Awakening)========================================================================================================
	10	2	7	110	15	15
	10	3	8	110	15	15
	10	4	9	110	15	15
	10	5	10	110	15	15
	10	6	11	110	15	15
	//10	7	12	203	15	15
//Dimension Mas(Awakening)========================================================================================================
	11	2	7	109	15	15
	11	3	8	109	15	15
	11	4	9	109	15	15
	11	5	10	109	15	15
	11	6	11	109	15	15
	//11	7	12	203	15	15
//RF(Awakening)===============================================================================================================
	12	2	7	112	15	15
	12	3	8	112	15	15
	12	4	9	112	15	15
	12	6	11	112	15	15
	//12	7	12	203	15	15
//WingFoxSM===============================================================================================================
	13	2	7	99	15	15
	13	3	8	99	15	15
	13	4	9	99	15	15
	13	5	10	99	15	15
	13	6	11	99	15	15
	13	7	12	37	15	15
//WingFoxBK===============================================================================================================
	14	2	7	98	15	15
	14	3	8	98	15	15
	14	4	9	98	15	15
	14	5	10	98	15	15
	14	6	11	98	15	15
	14	7	12	36	15	15
	//14	8	13	200	15	15
//WingFoxELF===============================================================================================================
	15	7	12	38	15	15
//WingFoxMG===============================================================================================================
	16	7	12	39	15	15
//WingFoxDL===============================================================================================================
	17	7	12	40	15	15
//WingFoxSum===============================================================================================================
	18	7	12	42	15	15
//WingFoxRF==============================================================================================================
	19	7	12	49 	15	15
end
//=================================================================================================================
//=================================================================================================================
// - 28	(Greater Damage), 27 (Greater Defense),  16 (Greater Mana Shield),  64 (Critical Damage)
// - 48	(Greater Life), 217 (Reflect), 82 (Magic Circle), 129 (Greater Ignore Defense Rate), 130 (Fitness)
// -
// - MAX SKILLS PER BOT = 5
// - BotIndex	Skill		Min	%PowerSkill (% aumento da skill)

4
	0	28		5	50	//Buffer HE
	1	82		5	50	//Buffer GM
	2	48		5	50	//Buffer BM
	3	217		5	50	//Buffer DS
	4	64		5	50	//Buffer LE
	5	130		5	50	//Buffer FM
end
//=================================================================================================================
//=================================================================================================================
