//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
4	9	7	100	1	1	1	0	1	0	0	255	255	255	255	255
4	12	7	100	1	1	1	0	1	0	0	255	255	255	255	255
4	11	7	100	1	1	1	0	1	0	0	255	255	255	255	255
4	2	7	100	1	1	1	0	1	0	0	255	255	255	255	255
4	4	7	100	1	1	1	0	1	0	0	255	255	255	255	255
4	3	7	100	1	1	1	0	1	0	0	255	255	255	255	255
4	5	7	100	1	1	1	0	1	0	0	255	255	255	255	255
4	10	7	40	1	1	1	0	1	0	0	255	255	255	255	255
6	3	7	100	0	1	1	0	1	0	0	255	255	255	255	255
4	7	7	100	0	1	0	0	1	0	0	255	255	255	255	255
4	15	7	100	0	1	0	0	1	0	0	255	255	255	255	255
end
