//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
7           39     9       0     0       1      6        0	0	0	0	255	255	255	255	255
8           39     9       0     0       1      6        0	0	0	0	255	255	255	255	255
9           39     9       0     0       1      6        0	0	0	0	255	255	255	255	255
10          39     9       0     0       1      6        0	0	0	0	255	255	255	255	255
11          39     9       0     0       1      6        0	0	0	0	255	255	255	255	255
7           40     9       0     0       1      6        0	0	0	0	255	255	255	255	255
8           40     9       0     0       1      6        0	0	0	0	255	255	255	255	255
9           40     9       0     0       1      6        0	0	0	0	255	255	255	255	255
10          40     9       0     0       1      6        0	0	0	0	255	255	255	255	255
11          40     9       0     0       1      6        0	0	0	0	255	255	255	255	255
5         14      9       100     0       1      6        0	0	0	0	255	255	255	255	255
5         15      9       100     0       1      6        0	0	0	0	255	255	255	255	255
//poderes
15         19     0       0     0       1      0        0	0	0	0	255	255	255	255	255
15         20     0       0     0       1      0        0	0	0	0	255	255	255	255	255
15         21     0       0     0       1      0        0	0	0	0	255	255	255	255	255
15         22     0       0     0       1      0        0	0	0	0	255	255	255	255	255
15         23     0       0     0       1      0        0	0	0	0	255	255	255	255	255
15         24     0       0     0       1      0        0	0	0	0	255	255	255	255	255
15         25     0       0     0       1      0        0	0	0	0	255	255	255	255	255
15         26     0       0     0       1      0        0	0	0	0	255	255	255	255	255
15         27     0       0     0       1      0        0	0	0	0	255	255	255	255	255

end
