// Developer Project: takumi12
//------------------------------------------------------------------------------
// Ruud Shop
//------------------------------------------------------------------------------
// Descripcion: Tienda Shop Exclusiva Item Mix S15
// -----------------------------------------------------------------------------
// MaxPage: 5
// Slot Por Page: 5
// Class: -1 = All Class
// Class: 0 = Dark Wizard
// Class: 1 = Dark Knight
// Class: 2 = Muse Elf
// Class: 3 = Magic Gladiator
// Class: 4 = Dark Lord
// Class: 5 = Summoner
// Class: 6 = Rage Fighter
// ------------------------------
//Type Item Class Page Slot Price   Level   Dur   Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5

//-- Bloodangel Sets
//DW
14     178 	 0	  1    1    500	    0       0     0       0      0        0
14     179 	 0	  1    2    500	    0       0     0       0      0        0
14     180 	 0	  1    3    500	    0       0     0       0      0        0
14     181 	 0	  1    4    500	    0       0     0       0      0        0
//DK
14     174 	 1	  1    1    500	    0       0     0       0      0        0
14     175 	 1	  1    2    500	    0       0     0       0      0        0
14     176 	 1	  1    3    500	    0       0     0       0      0        0
14     177 	 1	  1    4    500	    0       0     0       0      0        0
//ELF
14     182 	 2	  1    1    500	    0       0     0       0      0        0
14     183 	 2	  1    2    500	    0       0     0       0      0        0
14     184 	 2	  1    3    500	    0       0     0       0      0        0
14     185 	 2	  1    4    500	    0       0     0       0      0        0
//MG
14     186 	 3	  1    1    500	    0       0     0       0      0        0
14     187 	 3	  1    2    500	    0       0     0       0      0        0
14     188 	 3	  1    3    500	    0       0     0       0      0        0
14     189 	 3	  1    4    500	    0       0     0       0      0        0
//DL
14     190 	 4	  1    1    500	    0       0     0       0      0        0
14     191 	 4	  1    2    500	    0       0     0       0      0        0
14     192 	 4	  1    3    500	    0       0     0       0      0        0
14     193 	 4	  1    4    500	    0       0     0       0      0        0
//Summoner
14     194 	 5	  1    1    500	    0       0     0       0      0        0
14     195 	 5	  1    2    500	    0       0     0       0      0        0
14     196 	 5	  1    3    500	    0       0     0       0      0        0
14     197 	 5	  1    4    500	    0       0     0       0      0        0
//RF
14     198 	 6	  1    1    500	    0       0     0       0      0        0
14     199 	 6	  1    2    500	    0       0     0       0      0        0
14     200 	 6	  1    3    500	    0       0     0       0      0        0
14     201 	 6	  1    4    500	    0       0     0       0      0        0



//Type Item Class Page Slot Price   Level   Dur   Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5
//-- Mix

13     154 	 -1	  2    1    500	    0       0     0       0      0        0
13     155 	 -1	  2    2    500	    0       0     0       0      0        0
13     174 	 -1	  2    3    500	    0       0     0       0      0        0
13     176 	 -1	  2    4    500	    0       0     0       0      0        0
13     177 	 -1	  2    5    500	    0       0     0       0      0        0

13     152 	 -1	  3    1    500	    0       0     0       0      0        0
13     153 	 -1	  3    2    500	    0       0     0       0      0        0
13     175 	 -1	  3    3    500	    0       0     0       0      0        0
13     173 	 -1	  3    4    500	    0       0     0       0      0        0
13     178 	 -1	  3    5    500	    0       0     0       0      0        0

13     179 	 -1	  4    1    500	    0       0     0       0      0        0
13     185 	 -1	  4    2    500	    0       0     0       0      0        0
13     165 	 -1	  4    3    500	    0       0     0       0      0        0
13     166 	 -1	  4    4    500	    0       0     0       0      0        0



//-- Ruud Boxs
14     203 	 -1	  5    1    120	    0       0     0       0      0        0
14     204 	 -1	  5    2    330	    0       0     0       0      0        0
14     205 	 -1	  5    3    545	    0       0     0       0      0        0
end	
